videoid,name,page_idx,page_dir,duration,contentUrl
100213,"a panoramic and aerial view of a field surrounded by land, with a sky background, a river, and a waterfall in the middle of a forest.",,,,
100214,"a person walking down a city street filled with lots of tall buildings, with a computer generated image of a bike parked in a parking garage.",,,,
100215,"a view of a city from the top of a skyscraper, the city including tall buildings and views from a high rise building.",,,,
100216,"a panoramic view of a city from the top of a skyscraper, the city having tall buildings.",,,,
100217,a city street filled with lots of tall buildings with a person standing in front of a large building.,,,,
100218,a panoramic and aerial view of a city with tall buildings,,,,
100219,"a city street filled with traffic and a person riding a skateboard, the street is next to tall buildings and has a parking lot with cars parked in it.",,,,
100220,"a picture of a city filled with lots of traffic, the city includes tall buildings and a car driving down the street.",,,,
100221,"a view of a city from the top of a very tall building, the city featuring multiple high rise buildings.",,,,
100222,"a view of a big city from the top of a very tall building, the view including a high rise building and the city towering over.",,,,
100223,"a panoramic view of a city with very tall buildings, one of which has a clock on the top.",,,,
100224,a panoramic aerial view of a city with tall buildings,,,,
100225,"a panoramic view of a city with tall buildings, including a large building with a green dome on top of it.",,,,
100226,"a panoramic view of a city from the top of a building, the city filled with tall buildings",,,,
100227,"a panoramic view of a city from the top of a skyscraper, the city with tall buildings.",,,,
100228,"a close up of a city from the top of a building, the city including a building with a clock on it.",,,,
100229,"a computer generated image of a city street filled with lots of traffic, next to a body of water and a bridge, including a building with multiple windows.",,,,
100230,"The output is: an aerial view of a large waterfall on a hill, 20 meters above ground level, surrounded by a lush green forest, with a mountain and a sky background.",,,,
100231,"an aerial view of a lush green landscape, including a large waterfall with a small waterfall in the middle of it, a hillside and a forest.",,,,
100232,"an aerial view of a grassy hill with a waterfall in the mountains, the hill being part of a field, supplemented by a computer generated image.",,,,
100233,"an aerial view of a lush green valley with a waterfall producing a rainbow, a field, and a mountainside under a cloudy sky",,,,
100234,a blurry photo of a very large waterfall in the middle of a mountain with clouds in the sky.,,,,
100235,a panoramic view of a rocky cliff with a body of water in the background and a mountain under the blue sky,,,,
100236,"an aerial view of a large waterfall in the middle of a mountain, overlooking the ocean with a cloudy sky, the scene includes a cliff under a blue sky.",,,,
100237,"a 3D picture of a lush green field with a waterfall, surrounded by a forest and a hillside, with a mountain in the background and trees on the mountain.",,,,
100238,"an aerial view of a very tall and lush green mountain with a bunch of trees on top of it, a waterfall is seen from the top of a cliff, and there is a body of water nearby.",,,,
100239,"a large waterfall with a man standing on the edge of a cliff that has a very tall cliff on top of it, also includes an aerial view of the ocean and clouds.",,,,
100240,"a blurry photo of a waterfall in the middle of a foggy forest, with an airplane flying in the sky over a cliff and a body of water, under a cloudy sky.",,,,
100241,"a computer generated image of a landscape that includes a waterfall with a rainbow, a cliff, a body of water, a mountain side and clouds in the sky.",,,,
100242,a blurry photo of a ship and a boat in the middle of the ocean on a foggy day.,,,,
100243,"a blurry photo of a boat in a large body of water surrounded by fog, with people on it.",,,,
100244,"a ship and a boat traveling through the ocean on a foggy day, with an iceberg floating in the water.",,,,
100245,"an aerial view of a large boat floating on the ocean with ice floes, an airplane flying over ice covered ground with a mountain in the background, the view taken from the boat.",,,,
100246,"a large boat floating on a body of water, with a group of people on it in the snow, against a backdrop of a snow-covered ground and sky.",,,,
100247,"an aerial view of a large boat in the ocean with people on it, a mountain, a bird flying over, and ice floes.",,,,
100248,"an image of a person riding a boat on a large body of water, with a large iceberg floating on it and other icebergs in the background.",,,,
100249,"a large iceberg floating in the middle of the ocean, with a group of people on small boats and a boat floating on the water.",,,,
100250,"a person standing on a boat traveling through a body of water covered in ice, with large icebergs floating in the middle of the water.",,,,
100251,"a scene in the snow with a penguin sitting and standing on a rock, a snowboarder going down a hill, and a group of penguins on a sandy beach.",,,,
100252,"a blurry photo of a group of birds and a man in a red jacket on a beach, the beach with a boat in the water and a dirt field, the birds are walking across the field and standing on the sand, the man is squatting on a rocky area.",,,,
100253,a computer-generated panoramic view of icebergs and ice floes floating in the ocean.,,,,
100254,"a panoramic view of a large body of water with icebergs and a snow-covered mountain in the background, including a lake, mountains, and a snow-covered beach.",,,,
100255,"a panoramic, fish-eye view of a snow covered mountain with rocks, a body of water, all under a sky background.",,,,
100256,"a view of a large iceberg floating in the middle of the ocean from a boat, under a cloudy sky.",,,,
100257,"a panoramic view of a snow covered mountain and field with a body of water in the background, icebergs in the distance, and a beach.",,,,
100258,"an aerial view of a lush green field in the mountains, the field including a golf course, a river running through it, and a mountain in the background.",,,,
100259,"an aerial view of a lush green countryside with a river running through it, including a green hillside and a green field.",,,,
100260,"a fish eye and panoramic view of a snowy beach with a river, a snow covered bridge over a stream, a small island in the background, and a man riding a surfboard on top of the body of water.",,,,
100261,"a panoramic view of a dog walking across a river running through a lush green hillside with trees, located next to a mountain lake.",,,,
100262,"an aerial view of a green field with a river running through it, including a panoramic view of a snow-covered mountain.",,,,
100263,a wide and 3D shot of a river running through a lush green countryside field.,,,,
100264,a brown bear walking across a river that runs through a lush green countryside with a hillside and a mountain in the background,,,,
100265,"a brown bear walking across a river that runs through a lush green countryside, which includes a hillside and a field.",,,,
100266,"a panoramic view of a lush green countryside with a river running through it, the scene featuring a grassy field and a mountain.",,,,
100267,a fish eye view of a river running through a lush green countryside and field.,,,,
100268,"a panoramic and aerial view of a city with a bridge, a river, green field and buildings.",,,,
100269,"a panoramic view of a city with a river running through it, seen from a bridge and an aerial perspective.",,,,
100270,"a panoramic and aerial view of a city with a clock tower, tall buildings, a bridge over a river, and a river running through the city.",,,,
100271,"an aerial view of a city with tall buildings, a river, and a bridge.",,,,
100272,"a panoramic aerial view of a small village located in a rural area on a hill, surrounded by a forest and mountains.",,,,
100273,The output is: a computer generated 3D image of a man in a red robe walking up some steps in a brick building with a bird flying over a stone walkway next to a forest.,,,,
100274,"a view of a person standing in front of a house in the middle of a field, with a group of people standing on a stone walkway and walking across a stone road.",,,,
100275,"a blurry image of a street with a group of people walking around a park, a person sitting at a table, a building and a house in the woods in the background.",,,,
100276,"a virtual view of a village in the mountains, the village including a small white building on a lush green field, a house in the middle of a field, and a bench on a stone walkway.",,,,
100277,"an aerial view of a mountainous area, including a parking lot with cars, a boat in the water, and a road with a sign that says 'airpano vr production'.",,,,
100278,"a view of a town with a group of people walking around a white building and down a street, a clock tower in the middle of the town, and a train station with a sky background.",,,,
100279,a group of people standing around a field and holding flags.,,,,
100280,"an aerial view of a rural village located in the middle of a field, the scene includes farmland, mountains in the background, and a field.",,,,
100281,"a view from a vehicle of a field with white flowers, trees, and an apple orchard in bloom, including a blurry photo of a tree with the words air plane on it.",,,,
100282,"a picture of a woman in a white dress standing in a blurry, virtual field with flowers, trees and grass.",,,,
100283,"a picture of a field with trees, flowers and an apple tree, including a blurry view of an apple tree.",,,,
100284,"a picture of a field with trees, flowers, and a 3D image of a bride and groom in an apple orchard.",,,,
100285,a 3d image of a woman in a white dress walking through a field with apple trees and flowers in an orchard.,,,,
100286,"an aerial 3D view of a person flying a kite in a desert landscape, the landscape including a dirt field, mountains in the background",,,,
100287,"a 3D aerial view of a mountain with a sky background, the scene includes clouds and a dirt field.",,,,
100288,"a panoramic and aerial view of a mountain range with a sky background, including a large body of water.",,,,
100289,"a 360 view of a scene including a dirt road with a hill, a beach with mountains, a mountain with steam coming out of it, and a desert with a mountain in the background.",,,,
100290,"an aerial view of a foggy mountain range with a geyser spewing out water, a river running through it, and a blurry photo of the same river with mountains in the background.",,,,
100291,"a panoramic and bird's eye view of a cliff in the mountains and desert, the landscape including trees and cliff face.",,,,
100292,"a panoramic and aerial view of a canyon in the mountains with a rocky cliff, a field with a sunset in the background and a mountain in the background.",,,,
100293,"a panoramic view of a canyon at sunset, the scene includes a mountain, a man riding a bike down a dirt road, and a rocky cliff.",,,,
100294,"a panoramic view of a desert at sunset, featuring a cliff, a canyon, trees in the background, and a rocky cliff with trees on top.",,,,
100295,"a panoramic view of a large waterfall from a helicopter, including a river with a rainbow in the sky and a view of the water from a boat.",,,,
100296,"a blurry photo of a green wall with a plant growing on it, featuring a painting of a waterfall in the woods and an image of the plant growing on the side of a building.",,,,
100297,"a blurry photo of an airplane flying over a waterfall and a forest filled with trees and bushes, with a light coming out of a cave.",,,,
100298,"a 3D image of a man standing in front of a waterfall in a lush green forest, which is adjacent to a room with a bed and a curtain hanging from the ceiling.",,,,
100299,"a blurry photo of a man standing on a street with trees, a plant with the words airpano, and a waterfall in the background, and a body of water also present in the scene.",,,,
100300,"a picture of a large waterfall with water cascading down its sides taken from a boat, including a panoramic view of a foggy lake, and a blurry view of a forest with rocks and trees.",,,,
100301,"a blurry photo of boats, including a gondola, traveling down a river next to tall buildings, with an airpano logo and a canal in front of a building",,,,
100302,"a boat and a gondola with people on it traveling down a large body of water, surrounded by tall buildings and a large building on the side.",,,,
100303,"a gondola going down a canal with people on it, with a man riding a boat down a river, surrounded by tall buildings in the background.",,,,
100304,"a scene featuring a narrow canal with gondolas, a man in a white suit standing next to a car, a building with a boat in front of it, and a gondola moving down a narrow city street.",,,,
100305,"a gondola and a boat are moving along the water in a city with a canal and tall buildings, with a man riding a boat in the scene.",,,,
100306,a narrow canal running through a city filled with tall buildings,,,,
100307,a crowd of people walking down a street next to tall buildings,,,,
